datetime,open,close,high,low,volume,ma120
2022-04-08,4213.21,4230.77,4237.81,4175.53,142843794,4707.44775
2022-04-11,4203.79,4100.07,4203.79,4089.09,148197071,4700.447416666667
2022-04-12,4102.97,4179.97,4179.97,4075.8,144285683,4694.333750000001
2022-04-13,4154.41,4139.74,4194.04,4139.74,125097490,4687.730666666667
2022-04-14,4172.64,4191.57,4217.06,4155.55,124791316,4682.037249999999
2022-04-15,4162.37,4188.75,4211.32,4152.97,124762263,4675.920833333334
2022-04-18,4152.93,4166.38,4171.74,4119.99,117504609,4669.7225
2022-04-19,4161.93,4134.9,4186.94,4115.42,110217472,4663.113166666666
2022-04-20,4130.54,4070.79,4136.17,4060.5,117331658,4655.705333333333
2022-04-21,4048.73,3995.83,4086.44,3978.37,132783828,4647.5079166666665
2022-04-22,3967.2,4013.25,4037.08,3953.72,122101811,4639.5925
2022-04-25,3933.45,3814.91,3958.21,3814.91,168364503,4630.565416666666
2022-04-26,3822.49,3784.12,3871.85,3773.9,157577610,4621.56525
2022-04-27,3758.08,3895.54,3895.73,3757.09,172734047,4613.121666666668
2022-04-28,3883.42,3921.11,3943.43,3873.58,153056586,4605.041833333334
2022-04-29,3939.62,4016.24,4017.43,3898.57,179458378,4598.178416666667
2022-05-05,3995.35,4010.21,4039.7,3988.93,154170716,4591.420916666667
2022-05-06,3928.85,3908.82,3947.24,3902.05,123005550,4583.421583333334
2022-05-09,3883.95,3877.44,3914.11,3854.94,92936694,4575.380666666666
2022-05-10,3820.63,3919.87,3932.68,3808.57,136416919,4567.64475
2022-05-11,3917.93,3976.42,4033.3,3916.52,165632256,4560.392083333334
2022-05-12,3949.95,3958.74,3985.93,3935.59,113376067,4553.205
2022-05-13,3983.82,3988.6,4003.85,3957.14,109968356,4545.62125
2022-05-16,4015.0,3956.54,4018.03,3947.75,112425295,4537.856
2022-05-17,3961.76,4005.89,4005.89,3955.1,109661455,4530.551916666667
2022-05-18,4015.01,3991.91,4017.34,3964.75,108074232,4523.1235
2022-05-19,3938.3,3999.6,3999.6,3933.75,116293420,4515.738916666667
2022-05-20,4020.82,4077.6,4077.6,4020.82,147069174,4509.4054166666665
2022-05-23,4080.97,4053.98,4080.97,4029.08,130477811,4502.438083333333
2022-05-24,4052.87,3959.15,4055.78,3959.15,145554337,4494.494333333334
2022-05-25,3959.77,3983.18,3983.62,3946.81,107734016,4486.742916666667
2022-05-26,3987.68,3993.04,4015.75,3938.24,126263690,4479.046083333334
2022-05-27,4022.71,4001.3,4051.14,3983.38,112769336,4471.586583333334
2022-05-30,4020.86,4029.02,4040.82,4003.38,111152241,4464.660666666666
2022-05-31,4031.76,4091.52,4096.2,4020.38,135415514,4458.328166666667
2022-06-01,4086.62,4083.18,4094.9,4058.85,114850880,4452.087750000001
2022-06-02,4064.0,4089.57,4091.15,4057.91,113893637,4445.802083333333
2022-06-06,4090.53,4166.09,4166.62,4063.91,167871012,4440.0515000000005
2022-06-07,4165.69,4179.13,4198.09,4155.17,142992881,4434.035749999999
2022-06-08,4187.15,4219.81,4224.81,4158.03,157374057,4428.429
2022-06-09,4211.72,4175.67,4227.45,4160.88,168449155,4422.208750000001
2022-06-10,4145.65,4238.99,4241.35,4140.22,184796214,4415.9009166666665
2022-06-13,4194.46,4189.35,4218.23,4156.71,168475622,4408.48975
2022-06-14,4143.22,4222.31,4224.09,4102.93,171385905,4401.549666666667
2022-06-15,4228.29,4278.22,4348.42,4228.29,257046589,4394.8365
2022-06-16,4282.08,4250.06,4302.92,4241.08,184074417,4388.172833333333
2022-06-17,4219.23,4309.04,4318.77,4218.68,158649098,4382.365666666667
2022-06-20,4322.83,4330.43,4368.36,4297.89,165666383,4376.496499999999
2022-06-21,4327.92,4325.57,4357.34,4287.14,164667615,4371.25325
2022-06-22,4331.9,4270.62,4333.18,4269.25,158565855,4366.171583333334
2022-06-23,4277.96,4343.88,4343.88,4260.9,170882360,4361.4248333333335
2022-06-24,4354.55,4394.77,4400.69,4346.12,168972198,4357.094166666667
2022-06-27,4414.33,4444.26,4472.69,4414.33,177385677,4352.890166666667
2022-06-28,4442.58,4490.52,4497.89,4407.35,174756490,4349.3
2022-06-29,4472.73,4421.36,4503.13,4414.0,187276687,4345.150333333333
2022-06-30,4418.07,4485.01,4515.0,4418.07,156666289,4341.2257500000005
2022-07-01,4489.52,4466.72,4500.99,4449.29,144779599,4337.752750000001
2022-07-04,4447.22,4496.03,4496.03,4427.82,146345651,4334.207083333333
2022-07-05,4505.46,4489.54,4530.32,4439.45,154962414,4330.4501666666665
2022-07-06,4475.48,4423.97,4484.36,4393.42,149800236,4326.335166666667
2022-07-07,4425.28,4443.47,4457.34,4391.19,132660905,4322.796416666667
2022-07-08,4468.06,4428.78,4479.49,4426.89,123195740,4319.551
2022-07-11,4406.15,4354.62,4406.15,4330.58,134448579,4315.653083333334
2022-07-12,4352.65,4313.62,4370.34,4296.62,130187838,4311.2328333333335
2022-07-13,4313.36,4321.46,4341.47,4284.94,131113179,4307.263583333333
2022-07-14,4308.82,4322.07,4352.1,4292.76,145250926,4302.901000000001
2022-07-15,4299.47,4248.53,4344.86,4248.53,150214453,4298.589416666667
2022-07-18,4262.15,4292.59,4300.78,4217.51,122601192,4294.971583333334
2022-07-19,4288.44,4269.34,4288.44,4238.82,103805730,4290.8220833333335
2022-07-20,4291.28,4283.8,4303.37,4269.97,94490144,4286.409166666666
2022-07-21,4270.36,4236.06,4283.15,4236.05,117156344,4281.873166666667
2022-07-22,4251.79,4238.23,4275.47,4207.31,103840624,4276.995833333333
2022-07-25,4233.93,4212.64,4234.84,4201.92,83636664,4272.273583333334
2022-07-26,4220.09,4245.98,4259.99,4214.53,85823274,4267.76725
2022-07-27,4236.15,4225.04,4242.1,4217.28,78904940,4263.988833333333
2022-07-28,4242.27,4225.67,4267.92,4223.03,107531930,4259.9335
2022-07-29,4226.42,4170.1,4243.51,4160.87,114179286,4256.185333333333
